"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2021","7,947.79","7,753.69","7,963.38","7,753.69","","2.50%"
"02/26/2021","7,753.69","7,757.05","7,851.17","7,692.09","","-0.04%"
"02/25/2021","7,757.05","7,980.32","7,980.32","7,723.28","","-2.80%"
"02/24/2021","7,980.32","7,906.28","7,988.74","7,821.19","","0.94%"
"02/23/2021","7,906.28","7,919.96","7,942.34","7,706.19","","-0.17%"
"02/22/2021","7,919.96","8,062.51","8,062.51","7,917.84","","-1.77%"
"02/19/2021","8,062.51","8,085.29","8,119.69","8,054.01","","-0.28%"
"02/18/2021","8,085.29","8,124.82","8,124.82","8,011.46","","-0.49%"
"02/17/2021","8,124.82","8,158.66","8,158.66","8,052.46","","-0.41%"
"02/16/2021","8,158.66","8,192.50","8,226.57","8,137.48","","-0.41%"
"02/12/2021","8,192.50","8,151.36","8,197.34","8,118.10","","0.50%"
"02/11/2021","8,151.36","8,110.16","8,155.19","8,089.80","","0.51%"
"02/10/2021","8,110.16","8,113.75","8,160.07","8,053.34","","-0.04%"
"02/09/2021","8,113.75","8,124.31","8,134.26","8,105.76","","-0.13%"
"02/08/2021","8,124.31","8,064.42","8,124.33","8,064.42","","0.74%"
"02/05/2021","8,064.42","8,015.27","8,072.32","8,015.27","","0.61%"
"02/04/2021","8,015.27","7,937.62","8,015.73","7,937.62","","0.98%"
"02/03/2021","7,937.62","7,934.43","7,980.79","7,914.11","","0.04%"
"02/02/2021","7,934.43","7,828.94","7,959.44","7,828.94","","1.35%"
"02/01/2021","7,828.94","7,688.18","7,848.94","7,688.18","","1.83%"
"01/29/2021","7,688.18","7,840.22","7,840.22","7,638.41","","-1.94%"
"01/28/2021","7,840.22","7,772.55","7,931.94","7,772.55","","0.87%"
"01/27/2021","7,772.55","7,974.09","7,974.09","7,729.01","","-2.53%"
"01/26/2021","7,974.09","7,993.83","8,026.62","7,971.24","","-0.25%"
"01/25/2021","7,993.83","7,942.41","8,010.72","7,850.35","","0.65%"
"01/22/2021","7,942.41","7,950.24","7,962.92","7,920.66","","-0.10%"
"01/21/2021","7,950.24","7,932.67","7,969.15","7,917.87","","0.22%"
"01/20/2021","7,932.67","7,806.88","7,949.49","7,806.88","","1.61%"
"01/19/2021","7,806.88","7,726.51","7,814.88","7,726.51","","1.04%"
"01/15/2021","7,726.51","7,775.27","7,786.82","7,696.27","","-0.63%"
"01/14/2021","7,775.27","7,823.92","7,852.16","7,768.95","","-0.62%"
"01/13/2021","7,823.92","7,810.20","7,849.25","7,787.21","","0.18%"
"01/12/2021","7,810.20","7,810.36","7,827.39","7,751.18","","0.00%"
"01/11/2021","7,810.36","7,875.21","7,875.21","7,789.32","","-0.82%"
"01/08/2021","7,875.21","7,813.12","7,881.10","7,788.10","","0.79%"
"01/07/2021","7,813.12","7,654.76","7,827.18","7,654.76","","2.07%"
"01/06/2021","7,654.76","7,674.70","7,734.95","7,590.23","","-0.26%"
"01/05/2021","7,674.70","7,612.43","7,685.47","7,598.30","","0.82%"
"01/04/2021","7,612.43","7,713.53","7,745.93","7,525.40","","-1.31%"
"12/31/2020","7,713.53","7,685.16","7,722.21","7,658.28","","0.37%"
"12/30/2020","7,685.16","7,674.04","7,714.96","7,674.04","","0.14%"
"12/29/2020","7,674.04","7,702.73","7,751.89","7,661.69","","-0.37%"
"12/28/2020","7,702.73","7,658.31","7,722.80","7,658.31","","0.58%"
"12/24/2020","7,658.31","7,639.93","7,667.40","7,633.05","","0.42%"
"12/23/2020","7,626.06","7,653.57","7,677.03","7,624.66","","-0.36%"
"12/22/2020","7,653.57","7,637.06","7,668.93","7,610.51","","0.22%"
"12/21/2020","7,637.06","7,663.41","7,663.41","7,503.83","","-0.34%"
"12/18/2020","7,663.41","7,662.52","7,681.99","7,604.25","","0.01%"
"12/17/2020","7,662.52","7,591.25","7,662.86","7,591.25","","0.94%"
"12/16/2020","7,591.25","7,579.51","7,609.20","7,562.49","","0.15%"
"12/15/2020","7,579.51","7,487.53","7,579.69","7,487.53","","1.23%"
"12/14/2020","7,487.53","7,494.51","7,570.66","7,485.83","","-0.09%"
"12/11/2020","7,494.51","7,507.23","7,507.23","7,425.02","","-0.17%"
"12/10/2020","7,507.23","7,489.89","7,526.59","7,428.87","","0.23%"
"12/09/2020","7,489.89","7,585.88","7,600.31","7,463.67","","-1.27%"
"12/08/2020","7,585.88","7,554.51","7,598.59","7,528.22","","0.42%"
"12/07/2020","7,554.51","7,548.40","7,566.06","7,528.82","","0.08%"
"12/04/2020","7,548.40","7,480.05","7,548.41","7,480.05","","0.91%"
"12/03/2020","7,480.05","7,479.93","7,518.09","7,463.42","","0.00%"
"12/02/2020","7,479.93","7,490.87","7,490.87","7,424.93","","-0.15%"
"12/01/2020","7,490.87","7,421.20","7,518.26","7,420.90","","0.94%"
"11/30/2020","7,421.20","7,419.64","7,427.89","7,329.71","","0.02%"
"11/27/2020","7,419.64","7,407.54","7,432.01","7,400.94","","0.67%"
"11/25/2020","7,370.59","7,364.61","7,383.31","7,344.23","","0.08%"
"11/24/2020","7,364.61","7,284.38","7,378.22","7,284.38","","1.10%"
"11/23/2020","7,284.38","7,263.87","7,323.27","7,232.93","","0.28%"
"11/20/2020","7,263.87","7,308.89","7,316.39","7,262.79","","-0.62%"
"11/19/2020","7,308.89","7,255.45","7,317.73","7,223.62","","0.74%"
"11/18/2020","7,255.45","7,329.28","7,343.02","7,254.70","","-1.01%"
"11/17/2020","7,329.28","7,352.28","7,357.49","7,290.20","","-0.31%"
"11/16/2020","7,352.28","7,291.12","7,357.57","7,291.12","","0.84%"
"11/13/2020","7,291.12","7,216.86","7,304.64","7,216.86","","1.03%"
"11/12/2020","7,216.86","7,271.66","7,289.74","7,184.34","","-0.75%"
"11/11/2020","7,271.66","7,174.12","7,283.83","7,174.12","","1.36%"
"11/10/2020","7,174.12","7,233.48","7,233.48","7,100.84","","-0.82%"
"11/09/2020","7,233.48","7,274.45","7,471.49","7,228.94","","-0.56%"
"11/06/2020","7,274.45","7,254.29","7,295.94","7,194.88","","0.28%"
"11/05/2020","7,254.29","7,108.61","7,284.90","7,108.61","","2.05%"
"11/04/2020","7,108.61","6,902.69","7,183.61","6,902.69","","2.98%"
"11/03/2020","6,902.69","6,778.21","6,939.53","6,778.21","","1.84%"
"11/02/2020","6,778.21","6,711.60","6,845.35","6,711.60","","0.99%"
"10/30/2020","6,711.60","6,822.17","6,822.17","6,640.64","","-1.62%"
"10/29/2020","6,822.17","6,735.64","6,887.98","6,734.18","","1.28%"
"10/28/2020","6,735.64","6,995.67","6,995.67","6,731.32","","-3.72%"
"10/27/2020","6,995.67","6,987.11","7,027.38","6,977.77","","0.12%"
"10/26/2020","6,987.11","7,119.09","7,119.09","6,908.71","","-1.85%"
"10/23/2020","7,119.09","7,096.62","7,119.52","7,063.21","","0.32%"
"10/22/2020","7,096.62","7,081.41","7,114.27","7,023.96","","0.21%"
"10/21/2020","7,081.41","7,097.07","7,158.65","7,080.61","","-0.22%"
"10/20/2020","7,097.07","7,070.42","7,166.81","7,070.42","","0.38%"
"10/19/2020","7,070.42","7,186.83","7,237.06","7,055.84","","-1.62%"
"10/16/2020","7,186.83","7,187.08","7,258.44","7,186.26","","0.00%"
"10/15/2020","7,187.08","7,214.08","7,214.08","7,104.52","","-0.37%"
"10/14/2020","7,214.08","7,247.42","7,288.44","7,182.57","","-0.46%"
"10/13/2020","7,247.42","7,275.28","7,290.98","7,222.55","","-0.38%"
"10/12/2020","7,275.28","7,150.38","7,312.95","7,150.38","","1.75%"
"10/09/2020","7,150.38","7,067.10","7,152.62","7,065.46","","1.18%"
"10/08/2020","7,067.10","7,022.69","7,072.81","7,022.69","","0.63%"
"10/07/2020","7,022.69","6,903.69","7,036.13","6,903.69","","1.72%"
"10/06/2020","6,903.69","6,998.95","7,044.07","6,889.00","","-1.36%"
"10/05/2020","6,998.95","6,865.75","7,000.39","6,865.75","","1.94%"
"10/02/2020","6,865.75","6,966.69","6,966.69","6,834.16","","-1.45%"
"10/01/2020","6,966.69","6,915.13","6,994.87","6,915.13","","0.75%"
"09/30/2020","6,915.13","6,856.30","6,976.33","6,856.30","","0.86%"
"09/29/2020","6,856.30","6,875.13","6,899.64","6,843.02","","-0.27%"
"09/28/2020","6,875.13","6,771.40","6,886.91","6,771.40","","1.53%"
"09/25/2020","6,771.40","6,648.13","6,789.47","6,623.27","","1.85%"
"09/24/2020","6,648.13","6,632.57","6,715.60","6,572.15","","0.23%"
"09/23/2020","6,632.57","6,797.41","6,808.77","6,621.63","","-2.43%"
"09/22/2020","6,797.41","6,722.20","6,809.84","6,688.37","","1.12%"
"09/21/2020","6,722.20","6,759.51","6,759.51","6,583.63","","-0.55%"
